#property,areaCode,areaNumber,confidential,confidentialInformation,totalArea,cityCode,cityName,townName,numberOfBusinessFacilities,businessFacilityBuildingArea,totalFloorAreaOfBusinessFacilities,numberOfCommercialFacilities,commercialFacilityBuildingArea,TotalFloorAreaOfCommercialFacilities,NumberOfAccommodationFacilities,AccommodationBuildingArea,AccommodationTotalFloorArea,NumberOfCommercialComplexFacilities,CommercialComplexBuildingArea,TotalFloorAreaOfCommercialComplex,NumberOf Houses,ResidentialBuildingArea,TotalFloorAreaOfTheHouse,numberOfApartmentBuildings
155,37201096100,3,,,,37201,高松市,屋島西町,33,3344.54,5855.07,52,14427.75,18358.77,3,737.72,1036.75,,,,1461,112577.84,227079.09,121
156,37201096100,3,,,,37201,高松市,屋島西町,44,13135.32,34515.8,68,51242.95,71352.48,2,313.56,3052.73,,,,1783,132757.97,253404.75,51
157,372010970,2,,,,37201,高松市,前田西町,19,1527.32,2346.04,7,853.15,1234.73,1,1078.2,1735.4,,,,765,58966.69,76878.35,8
158,372010980,2,,,,37201,高松市,前田東町,15,1255.93,1587.45,19,1946.76,2414.32,,,,,,,897,72905.09,94645.49,25
159,372010990,2,,,,37201,高松市,亀田町,8,417.92,539.23,17,2801.72,6867.97,,,,,,,581,40543.66,54992.78,14
160,372011000,2,,,,37201,高松市,元山町,27,3251.58,6147.39,24,8003.7,8733.16,,,,,,,1467,115567.01,164416.59,63
161,372011010,2,,,,37201,高松市,東山崎町,32,3530.22,6410.87,45,23856.84,26023.49,,,,,,,1434,108836.49,155626.94,53
162,372011020,2,,,,37201,高松市,下田井町,16,1638.24,1940.84,16,2558.1,3078.13,,,,,,,637,55910.88,72981.38,8
163,372011030,2,,,,37201,高松市,林町,100,24763.47,50503.89,77,25379.8,38912.28,1,790.97,2683.37,,,,1860,185362.04,256346.83,162
164,372011040,2,,,,37201,高松市,六条町,24,2856.83,6060.72,15,1330.8,1855.21,,,,,,,1139,104231.36,130846.46,25
165,372011050,2,,,,37201,高松市,上林町,13,1574.83,2633.4,14,3489.33,3580.51,,,,,,,744,90175.89,107998.22,18
166,372011060,2,,,,37201,高松市,三谷町,40,4637.12,9132.2,29,5311.92,5510.63,,,,,,,2243,206126.75,257530.41,13
167,372011070,2,,,,37201,高松市,多肥下町,38,5629.76,10137.7,75,25690.3,32587.27,,,,,,,839,77240.2,119258.31,83
168,372011080,2,,,,37201,高松市,多肥上町,23,1912.66,3373.81,27,9261.86,23993.21,,,,,,,2629,240363.32,323423.92,84
169,372011090,2,,,,37201,高松市,出作町,10,796.34,1830.25,26,3144.13,4768.7,,,,,,,612,61450.81,80124.41,10
170,37201110100,3,,,,37201,高松市,仏生山町,37,4304.14,8206.11,65,13535.22,20253.97,2,373.48,648.28,,,,3198,269139.43,371731.8,95
171,37201110100,3,,,,37201,高松市,仏生山町,1,82.14,82.14,,,,,,,,,,118,7649.21,10472.95,1
172,372011110,2,,,,37201,高松市,三名町,16,2292.05,4248.29,19,3753.62,10536.74,,,,,,,431,38454.21,49135.74,27
173,372011120,2,,,,37201,高松市,鹿角町,22,2354.39,4980.21,18,4172.29,4971.31,,,,,,,811,62812.06,91671.05,17
174,372011130,2,,,,37201,高松市,成合町,36,5668.76,11861.97,26,16438.37,18832.26,,,,,,,1419,111003.02,156750.08,37
175,372011140,2,,,,37201,高松市,一宮町,35,6039.54,12669.28,66,14269.31,17309.52,,,,,,,2040,140646.51,199792.45,63
176,372011150,2,,,,37201,高松市,寺井町,20,2221.73,4438.53,23,2417.31,3170.55,,,,,,,1391,117169.65,159922.16,46
177,372011160,2,,,,37201,高松市,川部町,20,2011.12,2440.24,14,890.31,1366.03,,,,,,,1470,134219.33,173787.84,7
178,372011170,2,,,,37201,高松市,岡本町,11,992.65,1230.24,9,2151.25,2256.51,2,360,823.96,,,,838,69738.06,95225.17,8
179,372011180,2,,,,37201,高松市,円座町,51,8540.02,12954.9,68,20742.99,26486.84,,,,,,,3121,279339.34,384228.72,115
180,372011190,2,,,,37201,高松市,西山崎町,6,558.56,991.11,14,2258.69,3143.71,,,,,,,1044,98169.22,130834.33,13
181,372011200,2,,,,37201,高松市,檀紙町,41,4426.31,7139.85,33,4756.91,6920.74,,,,,,,1639,156843.09,198443.78,35
182,372011210,2,,,,37201,高松市,御厩町,22,1787.18,2311.65,18,3379.7,3871.07,,,,,,,1373,123106.1,158775.24,10
183,372011220,2,,,,37201,高松市,中間町,14,1540.55,1895.05,8,1628.47,1860.87,,,,,,,857,94231.96,114761.03,8
184,372011230,2,,,,37201,高松市,郷東町,91,16345.2,31220.13,40,15269.81,18776.63,1,114.04,114.04,,,,757,66444.77,117032.37,45
185,372011240,2,,,,37201,高松市,鶴市町,75,10550.26,22545.13,35,6740.63,18585.91,,,,,,,1609,136737.59,207988.51,62
186,372011250,2,,,,37201,高松市,飯田町,23,1903.83,2912.94,17,3250.32,4190.1,,,,,,,1327,132737.97,166426.57,19
