"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"美容所","ルルヴェール美容室","761-8077","高松市出作町３７６−５",,"村上　芳美",,,,,,"第59-14号","S59.04.19"
"美容所","よしい美容室","761-8064","高松市上之町三丁目９−３５",,"好井　竹子",,,,,,"第59-15号","S59.05.01"
"美容所","ビューティレモン","761-8085","高松市寺井町１１２６−１０",,"石牟禮　節子",,,,,,"第59-18号","S59.05.02"
"美容所","マスコット美容室","760-0080","高松市木太町４区２３４４番地１",,"平岡　悦子",,,,,,"第59-19号","S59.05.08"
"美容所","美容の店　リラ","761-0312","高松市東山崎町３８０番地１５",,"森　文子",,,,,,"第59-20号","S59.05.09"
"美容所","美容室　大西","760-0040","高松市片原町１番１０号","井上ビル２階","大西　道雄",,,,,,"第59-30号","S59.07.09"
"美容所","美容室　里香","760-0062","高松市塩上町二丁目５番８号",,"山地　芳子",,,,,,"第59-34号","S59.07.11"
"美容所","ビューティサロンまいたに","760-0080","高松市木太町字仮屋１７７４番地１６",,"米谷　敏子",,,,,,"第59-38号","S59.07.23"
"美容所","くみ美容室","760-0071","高松市藤塚町一丁目６番３号",,"赤松　フジ子",,,,,,"第59-41号","S59.08.07"
"美容所","ヒラノ美容室","761-8084","高松市一宮町８２８番地９",,"平野　武子",,,,,,"第52-35号","S59.09.21"
"美容所","カミイケ美容室","761-0104","高松市高松町１５３８番地１８",,"上池　昭美",,,,,,"第59-47号","S59.10.11"
"美容所","ビューティーサロン　　佐伯","761-0311","高松市元山町９４７番地１１",,"佐伯　恵巳",,,,,,"第59-51号","S59.11.06"
"美容所","サクライ美容室","761-1703","高松市香川町浅野１２６１番地１４","２階","桜井　一之",,,,,,"第59-54号","S59.11.16"
"美容所","ピアニーサロンド・ボーテ","761-0450","高松市三谷町１２７０番地８",,"稲井　栄",,,,,,"第59-58号","S59.12.13"
"美容所","ちゃあむサロンＫＡＷＡＳＯＭＥ","769-0103","高松市国分寺町福家字中福家甲３０１２−８",,"川染　保子",,,,,,"第60-3号","S60.03.02"
"美容所","テリー・ウスキ美容室　木太店","760-0080","高松市木太町２区１６７９−３",,"有限会社テリー・ウスキ","代表取締役","臼杵　秀人","香川県","高松市太田上町７４９番地７",,"第60-5号","S60.03.15"
"美容所","美容室ハイテック","761-8044","高松市円座町２０４８−８",,"林　尚子",,,,,,"第60-15号","S60.05.07"
"美容所","マーベル美容室","760-0078","高松市今里町字西脇３７２−５",,"大熊　慶子",,,,,,"第60-20号","S60.06.25"
"美容所","サロンたかぎ　たかぎ美容室","761-8058","高松市勅使町２９−２",,"髙木　英子",,,,,,"第60-26号","S60.08.12"
"美容所","シオタ美容室","761-0104","高松市高松町字津の村２０７４−４",,"塩田　登代",,,,,,"第60-29号","S60.09.01"
"美容所","おかもと美容室","761-1706","高松市香川町川東上１７６５−７",,"岡本　昭美",,,,,,"第60-30号","S60.09.07"
"美容所","タモン美容院","761-0113","高松市屋島西町２４７９−１６",,"星野　悦子",,,,,,"第60-38号","S60.11.13"
"美容所","ビューティーサロン　シャルマン","760-0077","高松市上福岡町９４６−１２",,"原田　雪子",,,,,,"第60-44号","S60.12.03"
