#property,latitude,longitude,name,address,telephoneNumber
93,34.29113639256303,134.01000741491032,くすりのレデイ円座店,円座町1037番地1,885-3700
94,34.34524533356258,134.03267241491187,くすりのレデイ扇町店,扇町二丁目11番8号,823-8700
95,34.29824343589662,134.04125395601497,くすりのレデイ太田上町店,太田上町503番地1,864-3870
96,34.30627200536727,134.05217669711965,くすりのレデイ太田店,太田下町3004番地14,815-3555
97,34.32447585605216,134.09282706031297,くすりのレデイ春日店,春日町571番地1,844-1100
98,34.33355223762151,134.084393629241,くすりのレデイ春日橋店,木太町2833番地1,802-1628
99,34.316001674685026,134.06831190876628,くすりのレデイ木太店,木太町5034番地2,814-8147
100,34.341006262387374,134.00107932655823,くすりのレデイ香西店,香西南町466番地1,881-8600
101,34.29250698310308,133.962293014298,くすりのレデイ国分寺店,国分寺町新名644番地1,813-7111
102,34.290205320614064,134.02886352656688,くすりのレデイ高松一宮店,一宮町833番地1,802-1502
103,34.26897565519228,134.00881243270095,くすりのレデイ高松川岡店,川部町508番地1,802-1705
104,34.28424016265947,134.04906470693834,くすりのレデイ高松出作店,出作町365番地13,802-2690
105,34.27374762869924,134.0269848069382,くすりのレデイ寺井店,寺井町971番地1,802-7522
106,34.33486281720952,134.05802978793392,くすりのレデイ花園店,花園町一丁目7番17号,802-1678
107,34.29967619911567,134.0722193738266,くすりのレデイ林店,林町1183番地,813-7073
108,34.294090238983486,134.08784374314357,くすりのレデイハローズ六条店,六条町42番地1,813-0818
109,34.28198961862031,134.03699407135665,くすりのレデイ仏生山店,仏生山町甲976番地1,802-7770
110,34.34180330583937,134.13148625969086,くすりのレデイ牟礼店,牟礼町牟礼998番地1,818-9100
111,34.336609777300446,134.09801298607624,くすりのレデイ屋島西店,屋島西町1981番地1,844-0600
112,34.263587776557785,134.02729150816262,薬マツモトキヨシ　ウイングポート店,香川町大野916番地1,864-7880
113,34.34322334635034,134.05005259707463,薬マツモトキヨシ　高松丸亀町店,丸亀町10番地1,823-1360
114,34.346598646938574,134.03901723209069,久保田商店,扇町一丁目23番12号,821-5607
115,34.29952443304514,134.0526953149106,グランデリーズ太田店,多肥下町1584番地4,867-7755
116,34.34433535754698,134.03113525377918,グランデリーズ昭和町店,昭和町二丁目2番10号,899-2200
117,34.331224486577646,134.04759852656807,グリーンアップル,栗林町一丁目5番7号,831-4632
118,34.17069995314428,134.09605467012787,黒川農機商会,塩江町安原上東2423番地,893-0048
119,34.29277599453809,134.06493769977706,工学部ショップ,林町2217番地20,864-5831
120,34.239459078312514,134.00725483822202,香南朝市,香南町横井997番地2,815-8533
121,34.34132421635084,134.0004966382275,河野,香西南町472番地7,882-4400
122,34.26624793154892,134.03480981601902,河野酒店,香川町浅野276番地9,889-2568
123,34.3472645095761,133.99867909712145,河野商店,香西本町511番地2,881-2276
124,34.28356619702296,134.02862596534933,コープ一宮,一宮町341番地,885-2110
125,34.34526632952071,134.0332158862171,コープ扇町,扇町二丁目360番2号,821-5050
126,34.315332811128684,134.05384159111495,コープ太田,伏石町2053番地5,865-1500
127,34.348188192407335,134.00243019726187,コープ香西,香西本町96番地1,882-7333
128,34.342530005019505,134.13278582487453,コープ牟礼,牟礼町牟礼994番地,845-1600
129,34.332627075591105,134.05238617517185,コープ栗林,藤塚町三丁目17番8号,862-6500
130,34.30540868991774,133.96234427516808,国分寺北部コミュニティセンター,国分寺町新居1840番地6,874-5805
131,34.352163959263464,134.00479923905453,ココカラファインイオンモール高松店,香西本町1番地1　,832-8231
132,34.33893259845716,134.05259063284436,ココカラファイン瓦町ＦＬＡＧ店,常盤町一丁目３番地１号コトデン瓦町ビル地下１階　,835-1277
133,34.343852874351875,134.04981511084955,ココカラファイン高松丸亀町店,丸亀町4番地9,811-4236
