#LINK,,,,,,
#lang,ja,,,,,
#attribution_name,高松市,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,
#file_name,0012,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/kindergarten,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location
#object_type_xsd,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
24,高松市立国分寺南部幼稚園,高松市国分寺町福家甲3123-1,087-874-1159,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.285316,133.961113"
25,高松市下笠居こども園,高松市生島町335,087-882-2531,https://kagawa-colorful.com/hoikusyo/h142,市立認定こども園,"34.358509,133.967533"
26,高松市はらこども園,高松市牟礼町原570-1,087-845-0234,https://kagawa-colorful.com/hoikusyo/h143,市立認定こども園,"34.328643,134.156038"
27,高松市庵治こども園,高松市庵治町853-1,087-871-2535,https://kagawa-colorful.com/hoikusyo/h144,市立認定こども園,"34.385761,134.131516"
28,高松市香南こども園,高松市香南町横井865-1,087-887-7876,https://kagawa-colorful.com/hoikusyo/h145,市立認定こども園,"34.242096,134.005834"
29,高松市塩江こども園,高松市塩江町安原下第1号887,087-890-2022,https://kagawa-colorful.com/hoikusyo/h146,市立認定こども園,"34.188524,134.061382"
30,高松市川東こども園,高松市香川町川東上1987-4,087-879-4602,https://kagawa-colorful.com/hoikusyo/h27,市立認定こども園,"34.237755,134.035134"
31,屋島こども園,高松市屋島西町1744-1,087-841-9711,https://kagawa-colorful.com/hoikusyo/h307/,市立認定こども園,"34.342609,134.099868"
32,林こども園,高松市林町1405-4,087-865-1676,https://kagawa-colorful.com/hoikusyo/h306/,市立認定こども園,"34.2959789,134.0789659"
33,香川大学教育学部附属幼稚園高松園舎,高松市番町五丁目1-55,087-861-2393,,国立幼稚園,"34.339334,134.043665"
34,高松中央高校幼稚園,高松市松島町一丁目14-8,087-831-0338,,私立幼稚園,"34.33993,134.060168"
35,マリア幼稚園,高松市多肥下町14-3,087-867-7303,,私立幼稚園,"34.299667,134.049999"
36,のぞみ幼稚園,高松市屋島中町30,087-843-2107,,私立幼稚園,"34.341348,134.10799"
37,栗林幼稚園,高松市栗林町二丁目19-4,087-834-0263,,私立幼稚園,"34.330038,134.05066"
38,高松幼稚園,高松市亀岡町1-6,087-861-3666,,私立幼稚園,"34.337611,134.042829"
,,,,,,
40,桜町聖母幼稚園,高松市桜町一丁目8-13,087-831-0328,,私立幼稚園,"34.330593,134.051379"
41,相愛幼稚園,高松市仏生山町甲546,087-888-2606,,私立幼稚園,"34.280112,134.047253"
42,太田百華幼稚園,高松市太田上町932,087-867-7445,,私立幼稚園,"34.301496,134.044062"
43,光華幼稚園,高松市瓦町一丁目13-8,087-831-5011,,私立幼稚園,"34.340658,134.052507"
44,くにとう幼稚園,高松市伏石町1611,087-866-1666,,私立幼稚園,"34.322588,134.052686"
,,,,,,
46,屋島教会幼稚園,高松市屋島西町1392-7,087-841-1925,,新制度に移行している私立幼稚園,"34.344964,134.095292"
47,青空幼稚園,高松市三条町498,087-867-7314,,新制度に移行している私立幼稚園,"34.318503,134.045934"
48,愛育幼稚園,高松市西ハゼ町310,087-865-5845,,新制度に移行している私立幼稚園,"34.319073,134.034293"
49,まゆみ幼稚園,高松市檀紙町1541-4,087-885-0756,,新制度に移行している私立幼稚園,"34.304447,134.000126"
50,二番丁幼稚園,高松市昭和町二丁目7-1,087-861-3575,,新制度に移行している私立幼稚園,"34.343464,134.031956"
51,ときわ幼稚園,高松市飯田町138,087-881-2796,,新制度に移行している私立幼稚園,"34.314879,133.994961"
52,高松聖母幼稚園,高松市番町二丁目4-31,087-851-2372,,新制度に移行している私立幼稚園,"34.343412,134.044394"
53,サンシャインこどもの森,高松市上林町502-2,087-889-8181,https://kagawa-colorful.com/hoikusyo/h147/,私立認定こども園,"34.292144,134.066237"
54,いずみこども園,高松市国分寺町国分2408,087-874-0882,https://kagawa-colorful.com/hoikusyo/h148,私立認定こども園,"34.303319,133.949144"
55,いずみこども園分園,国分寺町新居281-1,087-875-0882,https://kagawa-colorful.com/hoikusyo/h211,私立認定こども園,"34.304328,133.97246"
56,認定こども園高松東幼稚園,高松市春日町688,087-841-2306,https://kagawa-colorful.com/hoikusyo/h262,私立認定こども園,"34.327571,134.087355"
57,認定こども園新田幼稚園,高松市新田町甲2630-1,087-841-3686,https://kagawa-colorful.com/hoikusyo/h263,私立認定こども園,"34.325356,134.099079"
58,認定こども園和光こども園,高松市川部町1561-1,087-886-5879,https://kagawa-colorful.com/hoikusyo/h39/,私立認定こども園,"34.268464,134.006758"
59,認定こども園春日こども園,高松市春日町1287-1,087-843-3689,https://kagawa-colorful.com/hoikusyo/h163/,私立認定こども園,"34.331077,134.094275"
60,認定こども園花ノ宮こども園,高松市花ノ宮町一丁目10-22,087-831-6318,https://kagawa-colorful.com/hoikusyo/h175/,私立認定こども園,"34.326539,134.047837"
61,認定こども園中野保育所,高松市中野町27-5,087-831-8659,https://kagawa-colorful.com/hoikusyo/h174/,私立認定こども園,"34.333461,134.04506"
62,幼保連携型認定こども園カナン保育園,高松市仏生山町甲745-2,087-889-1059,https://kagawa-colorful.com/hoikusyo/h166/,私立認定こども園,"34.279891,134.042395"
63,幼保連携型認定こども園すまいる,高松市三名町591-1,087-802-3838,https://kagawa-colorful.com/hoikusyo/h275/,私立認定こども園,"34.292691,134.0352"
64,げんき・結愛・げんきこども園,高松市六条町604番地7,087-813-9818,https://kagawa-colorful.com/hoikusyo/h37/,私立認定こども園,"34.2936161,134.0789214"
65,幼保連携型カナン十河こども園,高松市十川西町546-1,087-848-0320,https://kagawa-colorful.com/hoikusyo/h48/,私立認定こども園,"34.2734776,134.1024882"
66,幼保連携型認定こども園高松和貴こども園,高松市林町2197-1,087-814-4141,https://kagawa-colorful.com/hoikusyo/h313/,私立認定こども園,"34.3064057,134.042294"
67,みらい学園,高松市木太町3429-3,087-899-2305,,私立認定こども園,"34.3264572,134.0769366"
68,認定こども園やしま幼稚園,高松市屋島西町2477-4,087-843-2241,https://kagawa-colorful.com/hoikusyo/h149,私立認定こども園,"34.353781,134.091115"
69,高松聖ヤコブ幼稚園,高松市西宝町二丁目3-14,087-861-0425,https://kagawa-colorful.com/hoikusyo/h249,私立認定こども園,"34.338923,134.031483"
70,認定こども園亀阜幼稚園,宮脇町一丁目2-23,087-831-2557,https://kagawa-colorful.com/hoikusyo/h252,私立認定こども園,"34.338702,134.038281"
71,らく楽寺井幼稚園,高松市寺井町1369-4,087-885-2038,https://kagawa-colorful.com/hoikusyo/h264,私立認定こども園,"34.279836,134.022373"
72,幼稚園型認定こども園つくし幼稚園,高松市高松町1711-7,087-843-4484,https://kagawa-colorful.com/hoikusyo/h272/,私立認定こども園,"34.334019,134.114815"
73,認定こども園勅使百華幼稚園,高松市勅使町955,087-865-9419,https://kagawa-colorful.com/hoikusyo/h273/,私立認定こども園,"34.304505,134.021922"
74,メリーＧＯランド高松園,高松市成合町796-1,087-886-6669,https://kagawa-colorful.com/hoikusyo/h274/,私立認定こども園,"34.30287,134.016075"
