"#property","lunchDay","menuName","foodName","quantity"
"100","7/4","ゆで野菜","アスパラガス","10"
"101","7/4","ゆで野菜","ゆで塩","0.4"
"102","7/4","ミニトマト","ミニトマト","30"
"103","7/4","とうふのみそ汁","豆腐","20"
"104","7/4","とうふのみそ汁","油揚げ","5"
"105","7/4","とうふのみそ汁","えのきたけ","10"
"106","7/4","とうふのみそ汁","干しわかめ（カット）","0.5"
"107","7/4","とうふのみそ汁","中ねぎ","5"
"108","7/4","とうふのみそ汁","中みそ","5.5"
"109","7/4","とうふのみそ汁","甘みそ","5"
"110","7/4","とうふのみそ汁","煮干し　だし用","4"
"111","7/4","とうふのみそ汁","水","130"
"112","7/5","セルフドッグ（全粒粉パン）","全粒粉パン","50"
"113","7/5","セルフドッグ（全粒粉パン）","全粒粉パン","50"
"114","7/5","セルフドッグ（全粒粉パン）","皮つき粗挽ウインナー","小　30"
"115","7/5","セルフドッグ（全粒粉パン）","皮つき粗挽ウインナー","中　40"
"116","7/5","セルフドッグ（全粒粉パン）","キャベツ","30"
"117","7/5","セルフドッグ（全粒粉パン）","人参","5"
"118","7/5","セルフドッグ（全粒粉パン）","きゅうり","10"
"119","7/5","セルフドッグ（全粒粉パン）","（個）トマトケチャップ　","小1-4　8"
"120","7/5","セルフドッグ（全粒粉パン）","（個）ケチャップ＆マスタード","小5-中　8"
"121","7/5","牛乳","牛乳","206"
"122","7/5","　じゃがいものコンソメスープ","ベーコン（短冊）","5"
"123","7/5","　じゃがいものコンソメスープ","じゃがいも","25"
"124","7/5","　じゃがいものコンソメスープ","玉葱","40"
"125","7/5","　じゃがいものコンソメスープ","（冷）白いんげん豆　１㎏","10"
"126","7/5","　じゃがいものコンソメスープ","人参","7"
"127","7/5","　じゃがいものコンソメスープ","ブナピー","7"
"128","7/5","　じゃがいものコンソメスープ","セロリ","1"
"129","7/5","　じゃがいものコンソメスープ","サラダ油","1"
"130","7/5","　じゃがいものコンソメスープ","（袋）がらスープ　１ｋｇ","4"
"131","7/5","　じゃがいものコンソメスープ","チキンコンソメ","0.5"
"132","7/5","　じゃがいものコンソメスープ","食塩","0.3"
"133","7/5","　じゃがいものコンソメスープ","こしょう","0.05"
"134","7/5","　じゃがいものコンソメスープ","ローリエ","0.1"
"135","7/5","　じゃがいものコンソメスープ","湯","100"
"136","7/8","ビビンバ","精白米（委託・白）","70"
"137","7/8","ビビンバ","精白米（委託・白）","80"
"138","7/8","ビビンバ","牛肉（３×３㎝スライス）","40"
"139","7/8","ビビンバ","しょうゆ","3.5"
"140","7/8","ビビンバ","三温糖","1.5"
"141","7/8","ビビンバ","清酒","1"
"142","7/8","ビビンバ","にんにく　","1.5"
"143","7/8","ビビンバ","中ねぎ","1"
"144","7/8","ビビンバ","ごま油","1"
"145","7/8","ビビンバ","炒り白ごま","2"
"146","7/8","ビビンバ","一味","0.01"
"147","7/8","ビビンバ","もやし","40"
"148","7/8","ビビンバ","（冷）ほうれん草","25"
"149","7/8","ビビンバ","人参","10"
"150","7/8","ビビンバ","（個）韓国ナムルドレッシング","10"
"151","7/8","ダイシモチ麦のサムゲタンスープ","鶏肉　胸・皮なし（２×１㎝）","8"
"152","7/8","ダイシモチ麦のサムゲタンスープ","鶏肉　もも・皮なし（２×１㎝）","4"
"153","7/8","ダイシモチ麦のサムゲタンスープ","もち麦","7"
"154","7/8","ダイシモチ麦のサムゲタンスープ","玉葱","30"
"155","7/8","ダイシモチ麦のサムゲタンスープ","人参","7"
"156","7/8","ダイシモチ麦のサムゲタンスープ","中ねぎ","5"
"157","7/8","ダイシモチ麦のサムゲタンスープ","干ししいたけ（スライス）","0.8"
"158","7/8","ダイシモチ麦のサムゲタンスープ","生姜","0.5"
"159","7/8","ダイシモチ麦のサムゲタンスープ","にんにく　","0.5"
"160","7/8","ダイシモチ麦のサムゲタンスープ","サラダ油","0.5"
"161","7/8","ダイシモチ麦のサムゲタンスープ","（袋）がらスープ　１ｋｇ","4"
