"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","営業者申請者名","営業者役職名","営業者代表者名","営業者都道府県名称","営業者住所１","営業者住所２","開設確認番号","開設確認日","開設確認日"
"クリーニング所","サーパス木太南小前","760-0080","高松市木太町１３６８−１",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30024号","H28.02.16","H28.02.16"
"クリーニング所","サーパス木太八坂通り","760-0080","高松市木太町５０５１−２",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30025号","H28.02.16","H28.02.16"
"クリーニング所","サーパス太田南","761-8073","高松市太田下町１８１０−１",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30026号","H28.02.16","H28.02.16"
"クリーニング所","サーパス桜井高校前","761-8076","高松市多肥上町１３２３−１",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30027号","H28.02.16","H28.02.16"
"クリーニング所","サーパスシティ番町ウエストテラス","760-0017","高松市番町５丁目６−５",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30028号","H28.02.16","H28.02.16"
"クリーニング所","サーパスシティ番町イーストテラス","760-0017","高松市番町５丁目６−３８",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30029号","H28.02.16","H28.02.16"
"クリーニング所","サーパス中央町２番館","760-0007","高松市中央町１２−１",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30030号","H28.02.16","H28.02.16"
"クリーニング所","サーパス中央町３番館","760-0007","高松市中央町１０−１３",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30031号","H28.02.16","H28.02.16"
"クリーニング所","サーパス栗林公園前","760-0073","高松市栗林町１丁目６−２３",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30032号","H28.02.16","H28.02.16"
"クリーニング所","サーパスシティ栗林公園ウエストテラス","761-8062","高松市室新町９７３−７",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30033号","H28.02.16","H28.02.16"
"クリーニング所","サーパスシティ栗林公園イーストテラス","761-8062","高松市室新町９７３−５",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30034号","H28.02.16","H28.02.16"
"クリーニング所","白洋舎　ムーミー林店","761-0301","高松市林町１２０８番地",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30038号","H28.12.12","H28.12.12"
"クリーニング所","サーパス三条ウエストガーデン","761-8072","高松市三条町２１９番１",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30039号","H29.01.30","H29.01.30"
"クリーニング所","サーパス昭和町一丁目","760-0014","高松市昭和町一丁目２２６番地５",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30040号","H29.03.15","H29.03.15"
"クリーニング所","さかえドライ　エブリィ六条店","761-0313","高松市下田井町３７２−１",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第30041号","H29.07.03","H29.07.03"
"クリーニング所","ワンナワードライ・東宝　仏生山店","761-8078","高松市仏生山町字伊勢地甲３８３番１",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第30042号","H29.09.28","H29.09.28"
"クリーニング所","ワンナワードライ・東宝　マルナカ松福店","760-0067","高松市松福町１−３−７",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第30043号","H29.10.26","H29.10.26"
"クリーニング所","白洋舎　屋島北サービス店","761-0113","高松市屋島西町１２２６番地１",,"三木　雅子",,,,,,"第30044号","H30.01.30","H30.01.30"
"クリーニング所","白洋舎　ウイングポート店","761-1701","高松市香川町大野９１６−１",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30045号","H30.02.02","H30.02.02"
"クリーニング所","¥１００−ＤＲＹ　宮脇店","760-0005","高松市宮脇町１丁目３３番地７",,"株式会社ミニスター","代表取締役","池内　洋平","香川県","高松市木太町２２９５番地４",,"第30046号","H30.02.21","H30.02.21"
"クリーニング所","白洋舎　コープ栗林店","760-0071","高松市藤塚町３丁目１７−８",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30047号","H30.03.06","H30.03.06"
"クリーニング所","（株）まるはちハピネス　ドリームウエイ支店","760-0080","高松市木太町１１８６−５",,"株式会社まるはちハピネス","代表取締役","岩本　竜九","神奈川県","横浜市港北区新横浜三丁目８番地１２",,"第30048号","H30.05.25","H30.05.25"
"クリーニング所","白洋舎　マルナカ木太店","760-0080","高松市木太町１６７７−１",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30049号","H30.07.10","H30.07.10"
"クリーニング所","ダイヤクリーニング　川島本店","761-0443","高松市川島東町４３２−２",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第30053号","H30.12.21","H30.12.21"
"クリーニング所","有限会社高松リースキン","761-8058","高松市勅使町２４５−１",,"有限会社高松リースキン","代表取締役","長尾　ツヤ子","香川県","高松市勅使町２４５番地１",,"第30054号","H31.02.14","H31.02.14"
"クリーニング所","白洋舎　マルヨシ木太店","760-0080","高松市木太町２５４８−１",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30058号","R01.08.09","R01.08.09"
"クリーニング所","さかえドライ　マルナカ春日店","760-0080","高松市木太町２８３３−１",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第30059号","R01.10.01","R01.10.01"
"クリーニング所","はるやま高松バイパス店　クリーニング取次所","761-0101","高松市春日町１６４１−１",,"はるやま商事株式会社","代表取締役","中村　宏明","岡山県","岡山市北区表町１丁目２番３号",,"第30060号","R01.11.08","R01.11.08"
"クリーニング所","洗たく工房ムーミー川島店","761-0443","高松市川島東町５２２−２",,"株式会社ハニードライ","代表取締役","新宮領　達也","香川県","高松市木太町１８７３−１",,"第30062号","R02.04.06","R02.04.06"
"クリーニング所","ダイヤクリーニング　ハローズ六条店","761-0303","高松市六条町３５８−３",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第30063号","R02.04.30","R02.04.30"
"クリーニング所","さかえドライマルナカ円座店","761-8044","高松市円座町９９９−１",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第30064号","R02.07.27","R02.07.27"
"クリーニング所","さかえドライマルナカきなし店","761-8024","高松市鬼無町藤井５８５−１",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第30066号","R02.10.01","R02.10.01"
"クリーニング所","白洋舎　コープ牟礼店","761-0121","高松市牟礼町牟礼９９４",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30067号","R02.10.20","R02.10.20"
"クリーニング所","ワンナワードライ東宝　川岡店","761-8046","高松市川部町５２１−２",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第30068号","R02.10.23","R02.10.23"
"クリーニング所","はるやま高松南店　クリーニング取次所","761-8054","高松市東ハゼ町１１−１",,"はるやま商事株式会社","代表取締役","中村　宏明","岡山県","岡山市北区表町一丁目２番３号",,"第30069号","R02.12.04","R02.12.04"
"クリーニング所","アルファコンフォート高松","760-0013","高松市扇町２丁目１０番１７号","１Ｆ","株式会社あなぶき社宅サービス","代表取締役","清藤　博幸","香川県","高松市紺屋町3番地６",,"第30070号","R03.03.19","R03.03.19"
"クリーニング所","ホテルウィングインターナショナル高松","760-0052","高松市瓦町二丁目２番３",,"株式会社ミナシア","代表取締役","下嶋　一義","東京都","千代田区神田小川町一丁目２番地",,"第30071号","R03.09.24","R03.09.24"
"クリーニング所","コンフォートホテル高松","760-0056","高松市中新町２番１０号",,"株式会社グリーンズ","代表取締役","村木　雄哉","三重県","四日市市浜田町５番３号",,"第30073号","R04.03.14","R04.03.14"
"クリーニング所","株式会社高松三越　本館２階　呉服売場","760-8639","高松市内町７番１号","株式会社高松三越　本館２階　呉服売場","株式会社高松三越","代表取締役","鈴木　健彦","香川県","高松市内町７番１号",,"第30074号","R04.04.12","R04.04.12"
"クリーニング所","白洋舎　マルヨシ国分寺店","769-0101","高松市国分寺町新居１４０６",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30075号","R04.04.14","R04.04.14"
"クリーニング所","ダイワロイネットホテル高松","760-0029","高松市丸亀町８−２３","８F","大和ハウスリアルティマネジメント株式会社","代表取締役","伊藤　光博","東京都","千代田区神田三崎町三丁目３番２１号",,"第30076号","R04.05.31","R04.05.31"
"クリーニング所","ワンナワードライ・東宝　マルナカ宮脇店","760-0005","高松市宮脇町１−４−５",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第30077号","R04.09.28","R04.09.28"
"クリーニング所","株式会社丸八ダイレクト","760-0079","高松市松縄町３４−２",,"株式会社丸八ダイレクト","代表取締役","對間　稔","神奈川県","横浜市港北区新横浜三丁目８番地１２",,"第30078号","R04.10.31","R04.10.31"
"クリーニング所","ダイヤクリーニング　ハローズ多肥店","761-8076","高松市多肥上町９７３−１",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第30079号","R04.12.19","R04.12.19"
"クリーニング所","大阪屋クリーニング店","760-0049","高松市八坂町１−５",,"谷　博文",,,,,,"第30080号","R04.12.19","R04.12.19"
"クリーニング所","さかえドライ　イオン高松東店","760-0066","高松市福岡町３−８−５",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第30081号","R04.12.27","R04.12.27"
"クリーニング所","クレアホームズ番町","760-0017","高松市番町一丁目１０番１３号",,"セントラルライフ株式会社","代表取締役","片貝　正","東京都","千代田区飯田橋三丁目３番７号",,"第30082号","R05.01.24","R05.01.24"
"クリーニング所","ドーミーイン高松","760-0052","高松市瓦町１丁目１０−１０",,"株式会社共立メンテナンス","代表取締役","中村　幸治","東京都","千代田区外神田二丁目１８番８号",,"第30083号","R05.06.19","R05.06.19"
"クリーニング所","ドーミーイン高松中央公園前","760-0018","高松市天神前１番３号",,"株式会社共立メンテナンス","代表取締役","中村　幸治","東京都","千代田区外神田二丁目１８番８号",,"第30084号","R05.07.11","R05.07.11"
"クリーニング所","白洋舎　ＪＲ高松オルネ店","760-0011","高松市浜ノ町１番２０号","１階","株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30085号","R05.09.27","R05.09.27"
"クリーニング所","琴屋ドライ","761-1701","高松市香川町大野１２５−５",,"亀井　久恵",,,,,,"第30086号","R05.11.22","R05.11.22"
"クリーニング所","琴屋ドライ　キナシ大林店","761-8024","高松市鬼無町藤井４３５−１","キナシ大林病院内","亀井　久恵",,,,,,"第30087号","R05.11.22","R05.11.22"
"クリーニング所","ＭＡＲＵＡＲＡＩ　ＰＬＵＳ","760-0029","高松市丸亀町１４番地６","弐番街２号館１Ｆ南","高松ライフシステム株式会社","代表取締役","小原　正義","香川県","高松市丸亀町１３番地２",,"第30088号","R06.03.27","R06.03.27"
"クリーニング所","ホワイト急便　屋島店","761-0113","高松市屋島西町２４８５−１２",,"株式会社ハニードライ","代表取締役","新宮領　達也","香川県","高松市木太町１８７３番地１",,"第30089号","R06.03.27","R06.03.27"
"クリーニング所","トヨタモビリティパーツ株式会社　香川支社","761-8085","高松市寺井町９２９−１",,"トヨタモビリティパーツ株式会社","代表取締役","榊󠄀原　弘隆","愛知県","名古屋市熱田区六野一丁目２番地９",,"第30090号","R06.04.09","R06.04.09"
"クリーニング所","美しいきもの　糸しょう","760-0054","高松市常磐町１丁目６−９",,"株式会社いちのや","代表取締役","谷本　一平","香川県","高松市常磐町一丁目６番地１３",,"第30091号","R06.06.25","R06.06.25"
"クリーニング所","（有）ふくや呉服店","760-0029","高松市丸亀町５−７",,"有限会社ふくや吳服店","取締役","多田　美枝子","香川県","高松市丸亀町５番地の７",,"第30092号","R06.08.02","R06.08.02"
"クリーニング所","京都きもの友禅株式会社　高松店","760-0023","高松市寿町２−３−１１","高松丸田ビル１Ｆ","京都きもの友禅株式会社","代表取締役","服部　雅親","東京都","中央区日本橋大伝馬町１４番１号",,"第30093号","R06.08.15","R06.08.15"
"クリーニング所","有限会社　河田商店","761-8078","高松市仏生山町甲４６９番地２",,"有限会社河田商店","取締役","河田　光博","香川県","高松市仏生山町甲４６９番地２",,"第30095号","R06.08.20","R06.08.20"
"クリーニング所","たまるや　七草着物店","761-8078","高松市仏生山町甲８３２番地６",,"多田　和也",,,,,,"第30094号","R06.08.20","R06.08.20"
"クリーニング所","馬場呉服店","760-0018","高松市天神前８番２３号",,"株式会社馬場呉服店","代表取締役","糸井　美代子","香川県","高松市天神前８番２３号",,"第30096号","R06.08.29","R06.08.29"
