"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","営業者申請者名","営業者役職名","営業者代表者名","営業者都道府県名称","営業者住所１","営業者住所２","開設確認番号","開設確認日","開設確認日"
"クリーニング所","さかえドライ川添サービス","761-0312","高松市東山崎町７６５番地",,"濱松　恵二",,,,,,"第59-58号","S59.12.19","S59.12.19"
"クリーニング所","株式会社トーカイ","761-8032","高松市鶴市町２０２５番地３",,"株式会社トーカイ","代表取締役","松尾　隆之","香川県","高松市鶴市町２０２５番地３",,"第60-24号","S60.09.25","S60.09.25"
"クリーニング所","竹川ドライ","761-0802","高松市鬼無町鬼無４３６番地３",,"竹川　鋭治",,,,,,"第61-10号","S61.02.12","S61.02.12"
"クリーニング所","ハニードライスイズカメラサービス","761-8078","高松市仏生山町甲３００３番地",,"水津　繁美",,,,,,"第61-14号","S61.02.25","S61.02.25"
"クリーニング所","中元クリーニング三条店","761-8071","高松市伏石町９３５番地",,"細谷　千恵子",,,,,,"第61-34号","S61.04.23","S61.04.23"
"クリーニング所","ハニードライ　ホビーサービス","761-8084","高松市一宮町１８１−４",,"佐野　佳子",,,,,,"第61-76号","S61.12.16","S61.12.16"
"クリーニング所","全国みつばチェーン大杉ドライ新名店","769-0104","高松市国分寺町新名４４６−６",,"藤井　和美",,,,,,"第62-4号","S62.02.25","S62.02.25"
"クリーニング所","筑前屋株式会社","760-0013","高松市扇町二丁目１１番１号",,"筑前屋株式会社","代表取締役","逸見　昌郎","香川県","高松市扇町二丁目１１番１号",,"第62-39号","S62.07.06","S62.07.06"
"クリーニング所","ハニードライ昭和町サービス","760-0014","高松市昭和町一丁目３の３",,"藤本　紀子",,,,,,"第62-52号","S62.09.28","S62.09.28"
"クリーニング所","ハニードライ栗林サービス","760-0073","高松市栗林町三丁目１２−３１",,"竹内　久美",,,,,,"第62-56号","S62.10.05","S62.10.05"
"クリーニング所","ハニードライ　山本サービス","761-1703","高松市香川町浅野１０３０−２",,"山本　和子",,,,,,"第62-68号","S62.12.01","S62.12.01"
"クリーニング所","ワコードライ","761-8071","高松市伏石町１４１２−１７",,"安田　修",,,,,,"第62-73号","S63.02.15","S63.02.15"
"クリーニング所","ワンナワードライ・東宝　屋島コープ前店","761-0113","高松市屋島西町２４８５−２２",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第63-1号","S63.04.02","S63.04.02"
"クリーニング所","全国みつばチェーン大杉ドライ大池店","760-0080","高松市木太町９区６０８−５",,"鍋浦　マスヱ",,,,,,"第63-4号","S63.04.16","S63.04.16"
"クリーニング所","有限会社　　ペガサス","760-0052","高松市瓦町二丁目３番地１２",,"有限会社　ペガサス","代表取締役","向村　憲人","香川県","高松市瓦町二丁目３番地１２",,"第63-5号","S63.05.19","S63.05.19"
"クリーニング所","ファミリードライ","761-8002","高松市生島町６０５−１",,"生南　正次",,,,,,"第63-7号","S63.06.02","S63.06.02"
"クリーニング所","白洋舎木太中央店","760-0080","高松市木太町７区３５９１−２",,"佐々木　義明",,,,,,"第63-8号","S63.06.03","S63.06.03"
"クリーニング所","クリーニングササキヤ","761-0301","高松市林町２５５８番地７",,"有限会社クリーニングタカヤ","代表取締役","佐々木　学","香川県","高松市林町２５５８番地７",,"第63-12号","S63.06.20","S63.06.20"
"クリーニング所","光泉ドライ","761-0313","高松市下田井町１０５−３",,"溝渕　昭義",,,,,,"第63-29号","S63.11.22","S63.11.22"
"クリーニング所","さかえドライ　吉田サービス","760-0007","高松市中央町１７−２２",,"吉田　勝則",,,,,,"第63-50号","H01.02.27","H01.02.27"
"クリーニング所","ベルモニークリーンサービス","761-8058","高松市勅使町５４０番地",,"株式会社　四国民間救急サービス","代表取締役","山内　清忠","香川県","高松市勅使町５４０番地",,"第1-10号","H01.07.13","H01.07.13"
"クリーニング所","全国みつばチェーン大杉ドライ伏石店","761-8071","高松市伏石町１４２９−１",,"吉田　孝子",,,,,,"第1-18号","H01.10.07","H01.10.07"
"クリーニング所","ミニスター鬼無店","761-0802","高松市鬼無町佐藤１１番地の１１",,"鶴早　松一",,,,,,"第1-22号","H01.10.16","H01.10.16"
"クリーニング所","有限会社　　佐立商事","760-0003","高松市西町２６番２号",,"有限会社　佐立商事","代表取締役","村杉　明","香川県","高松市西町２６番２号",,"第1-27号","H01.11.16","H01.11.16"
"クリーニング所","有限会社　　ダスキン高松","760-0011","高松市浜ノ町３２−２",,"有限会社　ダスキン高松","代表取締役","福島　千恵行","香川県","高松市松島町一丁目２番２４号",,"第1-31号","H01.12.05","H01.12.05"
"クリーニング所","ファミリードライ北谷店","761-0802","高松市鬼無町藤井１０９−１",,"北谷　益子",,,,,,"第1-33号","H01.12.22","H01.12.22"
"クリーニング所","ファミリードライ番町店","760-0017","高松市番町四丁目１４−２４",,"大西　君子",,,,,,"第1-34号","H01.12.22","H01.12.22"
"クリーニング所","ダスキン木太","760-0080","高松市木太町２区１２１４−３",,"宮本　博史",,,,,,"第1-41号","H02.01.17","H02.01.17"
"クリーニング所","さかえドライ三条田中店","761-8073","高松市太田下町２５０１番地",,"有限会社　三条商事","代表取締役","田中　一義","香川県","高松市太田下町２５０１番地",,"第1-42号","H02.01.18","H02.01.18"
"クリーニング所","株式会社　白洋舎　今新店","760-0043","高松市今新町７−１４",,"松原　久美子",,,,,,"第1-47号","H02.02.16","H02.02.16"
"クリーニング所","白洋舎　扇町サービス店","760-0013","高松市扇町二丁目９−２４",,"山本　信子",,,,,,"第1-48号","H02.02.16","H02.02.16"
"クリーニング所","有限会社　吉屋商会","761-8062","高松市室新町１０５２",,"有限会社　吉屋商会","代表取締役","赤木　雅一","香川県","高松市室新町１０５２",,"第1-50号","H02.02.23","H02.02.23"
"クリーニング所","朝日産業株式会社","760-0065","高松市朝日町一丁目３番２３号",,"朝日産業株式会社","代表取締役","藤谷　正明","香川県","高松市多賀町二丁目３−３",,"第1-58号","H02.03.30","H02.03.30"
"クリーニング所","ホワイト舎","761-0321","高松市前田西町１０７３番地１",,"有限会社　ホワイト舎","取締役","山田　悟","香川県","高松市前田西町１０７３番地１",,"第2-4号","H02.04.27","H02.04.27"
"クリーニング所","（有）スワン","760-0002","高松市茜町１０番２９号",,"有限会社スワン","代表取締役","真鍋　鈴子","香川県","高松市茜町１０番２９号",,"第2-10号","H02.05.31","H02.05.31"
"クリーニング所","第一丸信クリーニング店","760-0005","高松市宮脇町一丁目３５番９号",,"前川　竹一",,,,,,"第2-15号","H02.08.24","H02.08.24"
"クリーニング所","有限会社　川原クリーニング","761-0113","高松市屋島西町１４３９番地４",,"有限会社　川原クリーニング","代表取締役","川原　利康","香川県","高松市屋島西町１４３９番地４",,"第2-19号","H02.10.12","H02.10.12"
"クリーニング所","株式会社　白洋舎　屋島店","761-0113","高松市屋島西町１８９７番地１４",,"株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第2-28号","H03.01.05","H03.01.05"
"クリーニング所","全国みつばチェーン大杉ドライ宮本店","760-0076","高松市観光町５２３番地",,"宮本　初枝",,,,,,"第2-31号","H03.02.01","H03.02.01"
"クリーニング所","光泉ドライ木太店","760-0080","高松市木太町６区３０６０−１",,"溝渕　昭義",,,,,,"第2-33号","H03.02.19","H03.02.19"
"クリーニング所","株式会社　エーコープ香川　三条店","761-8064","高松市上之町二丁目９番２７号",,"株式会社　エーコープ香川","代表取締役","冨木田　真造","香川県","高松市寿町一丁目３番６号",,"第2-35号","H03.02.25","H03.02.25"
"クリーニング所","白洋舎　　昭和町店","760-0014","高松市昭和町１−１−２２",,"坂本　博正",,,,,,"第2-37号","H03.03.08","H03.03.08"
"クリーニング所","白洋舎　今新町店","760-0043","高松市今新町３−１１",,"西尾　陽子",,,,,,"第2-38号","H03.03.08","H03.03.08"
"クリーニング所","白洋舎　須和店","760-0080","高松市木太町８区４０３２−１",,"須和　貞子",,,,,,"第2-39号","H03.03.11","H03.03.11"
"クリーニング所","白洋舎　　勅使店","761-8058","高松市勅使町下所６０４−４",,"川西　正義",,,,,,"第2-41号","H03.03.11","H03.03.11"
"クリーニング所","エンゼル片原町店","760-0040","高松市片原町５番地３",,"三原ドライセンター株式会社","代表取締役","三原　正男","徳島県","板野郡藍住町住吉字神蔵１８８番地の２",,"第2-46号","H03.03.25","H03.03.25"
"クリーニング所","白洋舎　　紫雲町店","760-0015","高松市紫雲町２番地１７",,"山崎　和子",,,,,,"第3-3号","H03.04.17","H03.04.17"
"クリーニング所","（株）白洋舎","761-8031","高松市郷東町１３５−１",,"株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第3-10号","H03.05.30","H03.05.30"
"クリーニング所","パートナー高松店","760-0080","高松市木太町９区４３７９−１",,"植田　一徳",,,,,,"第3-17号","H03.09.20","H03.09.20"
"クリーニング所","東宝サンシャイン六条町店","761-0303","高松市六条町大字下り原８７２−１",,"外山　武司",,,,,,"第3-25号","H03.10.24","H03.10.24"
"クリーニング所","ミニスター　瀬戸内店","760-0012","高松市瀬戸内町５４−１",,"恵比寿　照栄",,,,,,"第3-26号","H03.11.06","H03.11.06"
"クリーニング所","エンゼル今里店","760-0078","高松市今里町３９０−２",,"黒川　節夫",,,,,,"第3-33号","H04.01.17","H04.01.17"
"クリーニング所","エンゼル松並店","761-8052","高松市松並町６０２番地４",,"中川　代志子",,,,,,"第3-35号","H04.01.31","H04.01.31"
"クリーニング所","有限会社　前田クリーニング店","761-8078","高松市仏生山町甲２５１８番地",,"有限会社前田クリーニング店","代表取締役","前田　和伸","香川県","高松市仏生山町甲２５１８番地",,"第3-40号","H04.03.07","H04.03.07"
"クリーニング所","エンゼル伏石店","761-8071","高松市伏石町１０８２の１",,"白石　昭典",,,,,,"第3-41号","H04.03.09","H04.03.09"
"クリーニング所","ハニードライ大工町サービス","760-0042","高松市大工町４−１",,"小西　勲",,,,,,"第3-42号","H04.03.12","H04.03.12"
"クリーニング所","白洋舎　　塩上北店","760-0062","高松市塩上町３−９−１",,"中川　敏彦",,,,,,"第4-12号","H04.05.15","H04.05.15"
"クリーニング所","白洋舎　　丸の内店","760-0033","高松市丸の内６−１４",,"古川　千都世",,,,,,"第4-19号","H04.07.17","H04.07.17"
"クリーニング所","ダイヤクリーニング　大野店","761-1701","高松市香川町大野２４６８−１",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第4-24号","H04.08.27","H04.08.27"
"クリーニング所","エンゼル　瀬戸内店","760-0012","高松市瀬戸内町２４−４",,"奥　世津子",,,,,,"第4-25号","H04.09.02","H04.09.02"
"クリーニング所","ハニードライ　　桜町サービス","760-0074","高松市桜町一丁目３９２番地７",,"曽根　順子",,,,,,"第4-28号","H04.10.01","H04.10.01"
"クリーニング所","エンゼル　　鬼無店","761-8026","高松市鬼無町鬼無６１８番地",,"秋山　洋子",,,,,,"第4-29号","H04.10.12","H04.10.12"
"クリーニング所","白洋舎　牟礼店","761-0121","高松市牟礼町牟礼３１４−２",,"白井　美代子",,,,,,"第4-30号","H04.10.15","H04.10.15"
"クリーニング所","エンゼル　　朝日町店","760-0065","高松市朝日町二丁目１３−１９",,"細川　ミエ",,,,,,"第4-32号","H04.10.20","H04.10.20"
"クリーニング所","東宝サンシャイン　　出作店","761-8077","高松市出作町２３４−２",,"川西　美沙子",,,,,,"第4-33号","H04.10.26","H04.10.26"
"クリーニング所","白洋舎　　円座学前店","761-8044","高松市円座町１６２７",,"木村　明美",,,,,,"第4-41号","H04.12.11","H04.12.11"
"クリーニング所","エンゼル　　屋島店","761-0104","高松市高松町８７番地",,"薮内　久美子",,,,,,"第4-46号","H05.02.16","H05.02.16"
"クリーニング所","エンゼル　　出作店","761-8077","高松市出作町５８８番地",,"岩佐　キミ子",,,,,,"第4-50号","H05.03.10","H05.03.10"
"クリーニング所","東宝サンシャイン　　築地店","760-0061","高松市築地町１４−５",,"三谷　由記子",,,,,,"第4-52号","H05.03.15","H05.03.15"
"クリーニング所","エンゼル　　こんぺいとう店","761-8071","高松市伏石町１３８１−３",,"田村　恵子",,,,,,"第5-1号","H05.04.05","H05.04.05"
"クリーニング所","エンゼル　　円座店","761-8044","高松市円座町１２９−２",,"尾方　睦子",,,,,,"第5-4号","H05.04.08","H05.04.08"
"クリーニング所","エンゼル　　茜町店","760-0002","高松市茜町９−１９",,"小倉　貞子",,,,,,"第5-6号","H05.04.23","H05.04.23"
"クリーニング所","ビッグドライクリーニング","761-0445","高松市西植田町１８７６番地",,"平野　幸夫",,,,,,"第5-9号","H05.05.06","H05.05.06"
"クリーニング所","エンゼルクリーニング太田下町店","761-8073","高松市太田下町３０３３−３",,"山本　哲美",,,,,,"第5-11号","H05.05.17","H05.05.17"
"クリーニング所","さかえドライ　コープ一宮サービス","761-8084","高松市一宮町字長塚３４１",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第5-13号","H05.05.20","H05.05.20"
"クリーニング所","株式会社　　白洋舎　　紙町店","761-8055","高松市紙町５４７−１",,"鯰越　明",,,,,,"第5-17号","H05.06.22","H05.06.22"
"クリーニング所","エンゼル　　楠上店","760-0075","高松市楠上町１丁目８−１５",,"喜多　悦子",,,,,,"第5-19号","H05.07.13","H05.07.13"
"クリーニング所","東宝サンシャイン　　宮脇店","760-0005","高松市宮脇町１−３−１８",,"佐川　初栄",,,,,,"第5-21号","H05.07.20","H05.07.20"
"クリーニング所","三原ドライセンター　株式会社　　高松工場","761-8013","高松市香西東町５７１番地１",,"三原ドライセンター　株式会社","代表取締役","三原　正男","徳島県","板野郡藍住町住吉字神蔵１８８−２",,"第5-40号","H06.01.13","H06.01.13"
"クリーニング所","白洋舎　　番町店","760-0017","高松市番町　３−６−１","コルソ番町１Ｆ","横関　久雄",,,,,,"第5-41号","H06.01.24","H06.01.24"
"クリーニング所","ホワイト急便　　松島サービス","760-0068","高松市松島町二丁目１８番１号",,"有限会社　たかせ園","代表取締役","近藤　角昭","香川県","高松市松島町二丁目１８番１号",,"第5-42号","H06.01.24","H06.01.24"
"クリーニング所","くずはらクリーニング","761-8054","高松市東ハゼ町８９０番地１",,"葛原　明",,,,,,"第5-43号","H06.01.28","H06.01.28"
"クリーニング所","ダイヤクリーニング　川島工場","761-0443","高松市川島東町４３２−２",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第5-44号","H06.02.14","H06.02.14"
"クリーニング所","白洋舎　浅野北店","761-1703","高松市香川町浅野５３３番地１",,"株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第5-47号","H06.03.04","H06.03.04"
"クリーニング所","白洋舎　　錦町店","760-0020","高松市錦町二丁目１１番８号",,"株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第5-49号","H06.03.23","H06.03.23"
"クリーニング所","デーバイデーサービス","761-0446","高松市東植田町８１８−７",,"熊野　紀子",,,,,,"第6-8号","H06.05.11","H06.05.11"
"クリーニング所","ホワイト急便　たけもとサービス","761-8075","高松市多肥下町１５５５−１",,"竹本　久子",,,,,,"第6-17号","H06.08.26","H06.08.26"
"クリーニング所","株式会社　　白洋舎　　番町南店","760-0017","高松市番町３丁目１８−９",,"藤岡　幸子",,,,,,"第6-24号","H06.11.17","H06.11.17"
"クリーニング所","ながはら太田店","761-8073","高松市太田下町字中下所２３１１−４",,"永原　豊子",,,,,,"第6-27号","H06.12.02","H06.12.02"
"クリーニング所","東宝サンシャイン　　郷東店","761-8031","高松市郷東町１番地１０",,"株式会社　ヨシダ","代表取締役","吉田　芳治","香川県","高松市郷東町１番地１０",,"第6-28号","H06.12.05","H06.12.05"
"クリーニング所","エンゼル　　由良店","761-0441","高松市由良町６２２−５",,"十河　春美",,,,,,"第6-30号","H06.12.15","H06.12.15"
"クリーニング所","ワンナワードライ・東宝　三条店","761-8072","高松市三条町中野３１４番地",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第6-31号","H06.12.17","H06.12.17"
"クリーニング所","（株）白洋舎　　松福町店","760-0067","高松市松福町１丁目７−１６",,"前田　美代子",,,,,,"第6-40号","H07.02.28","H07.02.28"
"クリーニング所","さかえドライ　かっさいサービス","760-0080","高松市木太町９区５５９−４",,"葛西　米雄",,,,,,"第6-44号","H07.03.20","H07.03.20"
"クリーニング所","白洋舎　マルヨシ川東店","761-1706","高松市香川町川東上１７９２番地１",,"株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第7-2号","H07.04.21","H07.04.21"
"クリーニング所","有限会社　Ｎｅｔｔ","761-8013","高松市香西東町５４８−３",,"有限会社　Ｎｅｔｔ","代表取締役","新宮領　達也","香川県","高松市木太町１８７３−１",,"第7-4号","H07.05.26","H07.05.26"
