"#property","areaCode","areaNumber","confidential","confidentialInformation","totalArea","cityCode","cityName","townName","beforeShowa46","showa4657","showa57Heisei","heisei211","heisei1221","heisei22","unknown","total","verificationOfAccounts","subtraction"
"189","372011280","2",,,,"37201","高松市","鬼無町佐料","148","103","148","69","94","51","0","613","613","0"
"190","372011290","2",,,,"37201","高松市","鬼無町佐藤","148","181","114","126","97","79","0","745","745","0"
"191","372011300","2",,,,"37201","高松市","鬼無町山口","100","79","28","41","17","44","0","309","309","0"
"192","372011310","2",,,,"37201","高松市","鬼無町鬼無","297","222","104","125","110","63","0","921","921","0"
"193","372011320","2",,,,"37201","高松市","香西本町","590","518","291","264","258","132","1","2054","2053","-1"
"194","372011330","2",,,,"37201","高松市","香西東町","120","244","243","283","97","51","0","1038","1038","0"
"195","372011340","2",,,,"37201","高松市","香西南町","231","343","250","298","268","210","0","1600","1600","0"
"196","372011350","2",,,,"37201","高松市","香西西町","204","190","84","113","81","28","0","700","700","0"
"197","372011360","2",,,,"37201","高松市","香西北町","315","291","163","192","231","137","0","1329","1329","0"
"198","372011370","2",,,,"37201","高松市","神在川窪町","284","288","134","176","101","24","1","1008","1007","-1"
"199","372011380","2",,,,"37201","高松市","植松町","118","74","36","44","28","14","0","314","314","0"
"200","372011390","2",,,,"37201","高松市","中山町","347","281","116","239","106","101","0","1190","1190","0"
"201","372011400","2",,,,"37201","高松市","生島町","282","299","147","165","121","53","0","1067","1067","0"
"202","372011410","2",,,,"37201","高松市","亀水町","332","284","170","167","71","36","1","1061","1060","-1"
"203","372011420","2",,,,"37201","高松市","女木町","270","109","22","46","10","1","0","458","458","0"
"204","372011430","2",,,,"37201","高松市","男木町","262","67","16","25","6","0","0","376","376","0"
"205","372011440","2",,,,"37201","高松市","由良町","264","291","279","682","366","213","0","2095","2095","0"
"206","372011450","2",,,,"37201","高松市","川島本町","109","151","125","259","118","123","0","885","885","0"
"207","372011460","2",,,,"37201","高松市","川島東町","443","557","382","728","367","267","0","2744","2744","0"
"208","372011470","2",,,,"37201","高松市","小村町","150","175","126","184","218","146","0","999","999","0"
"209","372011480","2",,,,"37201","高松市","亀田南町","131","239","159","253","138","58","0","978","978","0"
"210","372011490","2",,,,"37201","高松市","十川西町","165","182","144","266","421","122","0","1300","1300","0"
"211","372011500","2",,,,"37201","高松市","十川東町","189","241","134","412","250","109","0","1335","1335","0"
"212","372011510","2",,,,"37201","高松市","池田町","219","192","132","146","87","40","0","816","816","0"
"213","372011520","2",,,,"37201","高松市","東植田町","398","267","148","176","88","50","0","1127","1127","0"
"214","372011530","2",,,,"37201","高松市","西植田町","611","440","250","340","180","64","1","1886","1885","-1"
"215","372011540","2",,,,"37201","高松市","菅沢町","133","31","9","14","2","2","0","191","191","0"
"216","372011560","2",,,,"37201","高松市","塩江町安原","936","469","263","429","250","71","0","2418","2418","0"
"217","372011570","2",,,,"37201","高松市","塩江町安原","936","469","263","429","250","71","0","2418","2418","0"
"218","372011580","2",,,,"37201","高松市","塩江町安原","936","469","263","429","250","71","0","2418","2418","0"
"219","372011590","2",,,,"37201","高松市","塩江町上西","596","97","81","85","51","2","0","912","912","0"
"220","37201160000","3",,,,"37201","高松市","牟礼町牟礼","936","1357","771","938","709","438","2","5151","5149","-2"
"221","37201160000","3",,,,"37201","高松市","牟礼町牟礼","936","1357","771","938","709","438","2","5151","5149","-2"
"222","372011610","2",,,,"37201","高松市","牟礼町大町","491","662","375","584","331","181","3","2627","2624","-3"
"223","372011620","2",,,,"37201","高松市","牟礼町原","345","369","189","236","141","64","2","1346","1344","-2"
"224","372011630","2",,,,"37201","高松市","庵治町","1383","1485","756","739","379","145","0","4887","4887","0"
"225","372011640","2",,,,"37201","高松市","香川町東谷","223","73","51","63","11","3","0","424","424","0"
"226","372011650","2",,,,"37201","高松市","香川町川内","218","242","148","233","65","36","0","942","942","0"
"227","372011660","2",,,,"37201","高松市","香川町川東","606","1162","775","931","447","210","2","4133","4131","-2"
"228","372011670","2",,,,"37201","高松市","香川町川東","606","1162","775","931","447","210","2","4133","4131","-2"
"229","37201168000","3",,,,"37201","高松市","香川町浅野","721","1897","992","1423","699","208","1","5941","5940","-1"
"230","37201168000","3",,,,"37201","高松市","香川町浅野","721","1897","992","1423","699","208","1","5941","5940","-1"
"231","372011690","2",,,,"37201","高松市","香川町大野","359","1076","553","903","569","297","1","3758","3757","-1"
"232","372011700","2",,,,"37201","高松市","香川町寺井","19","86","22","27","25","47","0","226","226","0"
"233","372011710","2",,,,"37201","高松市","香川町安原","110","58","40","51","34","2","0","295","295","0"
"234","372011720","2",,,,"37201","高松市","香南町吉光","126","119","85","135","43","32","0","540","540","0"
"235","372011730","2",,,,"37201","高松市","香南町由佐","265","365","194","319","175","76","0","1394","1394","0"
"236","372011740","2",,,,"37201","高松市","香南町岡","166","127","150","130","50","40","0","663","663","0"
"237","372011750","2",,,,"37201","高松市","香南町横井","67","143","129","287","124","59","0","809","809","0"
"238","372011760","2",,,,"37201","高松市","香南町西庄","183","335","154","455","156","68","0","1351","1351","0"
"239","372011770","2",,,,"37201","高松市","香南町池内","144","132","112","200","68","28","0","684","684","0"
"240","372011780","2",,,,"37201","高松市","国分寺町新","1386","2207","1522","2038","884","497","7","8541","8534","-7"
"241","372011790","2",,,,"37201","高松市","国分寺町新","1386","2207","1522","2038","884","497","7","8541","8534","-7"
"242","372011800","2",,,,"37201","高松市","国分寺町柏","174","235","172","457","87","33","1","1159","1158","-1"
"243","372011810","2",,,,"37201","高松市","国分寺町福","627","1008","605","1220","584","256","1","4301","4300","-1"
"244","372011820","2",,,,"37201","高松市","国分寺町国","750","853","533","888","362","310","3","3699","3696","-3"
