"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"理容所","理容スーパー　常磐店","760-0054","高松市常磐町一丁目１０−２０","プロミスビル地下１階","亀田　ノリ子",,,,,,"第8-11号","H08.12.02"
"理容所","ヘアーサロン　モモタロー","761-8014","高松市香西南町６１１番地３",,"小松　孝",,,,,,"第8-15号","H09.03.11"
"理容所","ヘアーサロン　さかがみ","760-0076","高松市観光町５９３−１",,"阪上　悦子",,,,,,"第8-16号","H09.03.13"
"理容所","理容　かわさき","761-0104","高松市高松町２５８９",,"川崎　年英",,,,,,"第9-4号","H09.06.05"
"理容所","理容　富士","760-0005","高松市宮脇町一丁目２１−１２",,"菊本　實",,,,,,"第9-5号","H09.06.05"
"理容所","ヘアーサロン　エンマン","761-0441","高松市由良町８６０−３",,"暮石　喜久男",,,,,,"第9-6号","H09.11.07"
"理容所","理容　やまさき","761-8085","高松市寺井町１９９−６",,"山崎　修",,,,,,"第9-7号","H10.01.27"
"理容所","理容　はしもと","761-8085","高松市寺井町９４４−５",,"橋本　八郎",,,,,,"第9-9号","H10.03.30"
"理容所","髪師　稲垣","760-0080","高松市木太町１６０４−１０","木太井上ビル１階","稲垣　英樹",,,,,,"第10-2号","H10.05.18"
"理容所","理容　Ｏｏｋｕｓａ","760-0050","高松市亀井町２−１","朝日生命ビルＢ１","大草　良二",,,,,,"第10-6号","H10.07.31"
"理容所","ＢａｒＢａｒたかおか","761-1701","高松市香川町大野１９１５−４８",,"高岡　忠司",,,,,,"第10-7号","H10.08.03"
"理容所","医療法人社団青冥会　介護老人保健施設さつき荘","761-0450","高松市三谷町１６８０",,"医療法人社団青冥会","理事長","藤田　俊和","香川県","高松市三谷町１６８０番地１",,"第10-11号","H10.10.12"
"理容所","理容　のむら","760-0068","高松市松島町三丁目１０番２号",,"野村　勝",,,,,,"第10-12号","H10.10.28"
"理容所","ヘアーサロン　とみだ","760-0060","高松市末広町３番地１１",,"冨田　一幸",,,,,,"第11002号","H11.06.02"
"理容所","Ｃｕｔ　Ｈｏｕｓｅ　Ｔａｎａｋａ","761-1706","高松市香川町川東上１７４９−１７",,"田中　良知",,,,,,"第11-2号","H11.07.29"
"理容所","Ｔｏｗｎ　Ｈａｉｒ’ｓ　かじはら","761-0312","高松市東山崎町２７４−５",,"梶原　光利",,,,,,"第11007号","H11.12.02"
"理容所","そごう理容","761-0311","高松市元山町１２２９−１",,"十河　寛幸",,,,,,"第11008号","H12.02.10"
"理容所","ＨＡＩＲ　ＳＡＬＯＮ　ＵＥＨＡＲＡ","761-0445","高松市西植田町３０４４−１０",,"上原　朋也",,,,,,"第11009号","H12.02.23"
"理容所","ＢＡＲ’Ｓ　ＳＨＯＰ髪祭堂","761-8084","高松市一宮町７１４番地１",,"矢野　千冬",,,,,,"第11010号","H12.04.20"
"理容所","本田理容所","761-0123","高松市牟礼町原６７５−７",,"本田　貴弘",,,,,,"第12-1号","H12.05.26"
"理容所","ヘアークラシカル　シティー","760-0004","高松市西宝町２丁目９−１６",,"泉　新治",,,,,,"第11013号","H12.06.21"
"理容所","ヘアーサロン　なかむら","760-0068","高松市松島町二丁目５番３７号",,"中村　武",,,,,,"第11015号","H13.01.11"
"理容所","カット　ハウス　クスノキ","761-0102","高松市新田町甲２１１８−８",,"楠　正幸",,,,,,"第11016号","H13.02.01"
"理容所","佐々木理容院","760-0017","高松市番町二丁目４番９号",,"佐々木　正",,,,,,"第11018号","H13.02.23"
"理容所","Ｈａｉｒ　ｉｎ　Ｓｔａｙ","761-8075","高松市多肥下町１５５１−１３",,"川崎　善之",,,,,,"第11019号","H13.03.12"
"理容所","理容きたじ　ＳＵＮＰＯＲＴ","760-0019","高松市サンポート１番１号","高松港旅客ターミナルビル２階","有限会社　理容きたじ","代表取締役","北地　秀之","香川県","高松市サンポート１番１号",,"第11021号","H13.05.10"
"理容所","ヘアーサロンキタジ丸亀町","760-0029","高松市丸亀町２番地１１",,"有限会社　ノースランド","代表取締役","北地　一行","香川県","高松市丸亀町２番地１１",,"第11024号","H13.06.22"
"理容所","サミット　兵庫町店","760-0024","高松市兵庫町２−５",,"株式会社尾上","代表取締役","尾上　一昭","徳島県","徳島市佐古二番町８番９号",,"第11025号","H13.07.12"
"理容所","ヘアースタジオ２４","760-0068","高松市松島町２丁目９−３６",,"山地　正年",,,,,,"第11026号","H13.07.31"
"理容所","理容プラージュ　高松店","760-0079","高松市松縄町１１１８番地１１",,"阪南理美容株式会社","代表取締役","濱屋　雄大","大阪府","藤井寺市春日丘三丁目１２番１号",,"第11028号","H13.09.06"
"理容所","とこやさん","761-8024","高松市鬼無町藤井５６−２６番地",,"栗林　秀子",,,,,,"第11030号","H13.12.04"
"理容所","𠮷田理容所","760-0068","高松市松島町２０番地２４",,"𠮷田　百合子",,,,,,"第11032号","H14.02.25"
"理容所","プライム　移動店","770-0022","営業範囲（高松市内に限る）徳島800さ2640","※［当該移動理容所を所管する事務所の所在地］","株式会社尾上","代表取締役","尾上　一昭","徳島県","徳島市佐古二番町８番９号",,"第11033号","H14.03.01"
"理容所","シャトー","760-0021","高松市西の丸町５−１４","シャトービル１階","出水　由祐",,,,,,"第11034号","H14.03.05"
"理容所","理容　まつおか","761-0450","高松市三谷町２３０９−９",,"松岡　茂子",,,,,,"第11035号","H14.04.01"
"理容所","カットハウス　ノア","760-0072","高松市花園町二丁目４１１８番地",,"吉永　光輝",,,,,,"第11037号","H14.04.02"
"理容所","Ｅｎｃｈａｎｔｅ　　ｈａｉｒ　　ｄｅｓｉｇｎ","761-8073","高松市太田下町２４５６−１０",,"向井　幸大",,,,,,"第11036号","H14.04.02"
"理容所","Ｈａｉｒ　Ｓａｌｏｎ　Ｓｕｒｅ","761-0433","高松市十川西町６８０−１",,"小西　正博",,,,,,"第11038号","H14.04.04"
"理容所","ＨＡＩＲＣＲＡＦＴ　ＴＡＮＡＫＡ","761-0104","高松市高松町２５９６",,"田中　順二",,,,,,"第11039号","H14.05.20"
"理容所","ヘアーサロン　マナー","761-0431","高松市小村町２４０−５",,"吉積　政義",,,,,,"第11044号","H14.11.05"
"理容所","ヘアーサロン　ブロス","761-8078","高松市仏生山町甲５４４−３",,"大澤　健司",,,,,,"第11045号","H14.11.05"
"理容所","ｒｅｇｇａｅ　ｌｉｎｋｓ　Ｊａｍｍｉｎｇ","761-8041","高松市檀紙町１１６２−６",,"細川　昌男",,,,,,"第11046号","H14.12.20"
"理容所","Ｈａｉｒ　Ｓａｌｏｎ　Ｎａｇａｎｏ","760-0078","高松市今里町二丁目２４−３",,"永野　保",,,,,,"第11047号","H15.01.07"
"理容所","理容　藤川","761-0111","高松市屋島東町１１２８番地",,"藤川　和久",,,,,,"第11049号","H15.02.10"
"理容所","ヘアーサロン　うるしはら","761-0446","高松市東植田町８１８−７",,"漆原　誠",,,,,,"第11051号","H15.04.10"
"理容所","理容　アリオカ","761-8062","高松市室新町１０５２番地",,"有岡　信雄",,,,,,"第11052号","H15.04.14"
"理容所","向井理容院","760-0013","高松市扇町一丁目１６−５",,"向井　幸子",,,,,,"第11053号","H15.07.08"
"理容所","ふじもとヘアーサロン","760-0062","高松市塩上町二丁目８−８",,"藤本　洵",,,,,,"第11054号","H15.07.18"
"理容所","理容サミット　高松町店","761-0104","高松市高松町字帰来４３番地３",,"株式会社　尾上","代表取締役","尾上　一昭","徳島県","徳島市佐古二番町８番９号",,"第11055号","H15.07.24"
"理容所","ヘアーサロン　ヒロ","761-1703","高松市香川町浅野１０８５番地５",,"森　博之",,,,,,"第15-3号","H15.08.01"
"理容所","Ｂ　＆　Ｂ","761-8054","高松市東ハゼ町８番地６",,"有限会社　キタムラ","代表取締役","北村　芳子","大阪府","八尾市太田六丁目２７番地３号",,"第11056号","H15.08.19"
